"language" "language_short_code"
"1" "<U+FEFF>Afar" "aa"
"2" "Abkhazian" "ab"
"3" "Acehnese" "ace"
"4" "Adyghe" "ady"
"5" "Afrikaans" "af"
"6" "Akan" "ak"
"7" "Alemannic" "als"
"8" "Amharic" "am"
"9" "Aragonese" "an"
"10" "Anglo-Saxon" "ang"
"11" "Arabic" "ar"
"12" "Aramaic" "arc"
"13" "Egyptian Arabic" "arz"
"14" "Assamese" "as"
"15" "Asturian" "ast"
"16" "Avar" "av"
"17" "Aymara" "ay"
"18" "Azerbaijani" "az"
"19" "Southern Azerbaijani" "azb"
"20" "Bashkir" "ba"
"21" "Bavarian" "bar"
"22" "Samogitian" "bat-smg"
"23" "Central Bicolano" "bcl"
"24" "Belarusian" "be"
"25" "Belarusian (Taraškievica)" "be-tarask"
"26" "Bulgarian" "bg"
"27" "Bihari" "bh"
"28" "Bislama" "bi"
"29" "Banjar" "bjn"
"30" "Bambara" "bm"
"31" "Bengali" "bn"
"32" "Tibetan" "bo"
"33" "Bishnupriya Manipuri" "bpy"
"34" "Breton" "br"
"35" "Bosnian" "bs"
"36" "Buginese" "bug"
"37" "Buryat" "bxr"
"38" "Catalan" "ca"
"39" "Chavacano" "cbk-zam"
"40" "Min Dong" "cdo"
"41" "Chechen" "ce"
"42" "Cebuano" "ceb"
"43" "Chamorro" "ch"
"44" "Choctaw" "cho"
"45" "Cherokee" "chr"
"46" "Cheyenne" "chy"
"47" "Kurdish (Sorani)" "ckb"
"48" "Corsican" "co"
"49" "Cree" "cr"
"50" "Crimean Tatar" "crh"
"51" "Czech" "cs"
"52" "Kashubian" "csb"
"53" "Old Church Slavonic" "cu"
"54" "Chuvash" "cv"
"55" "Welsh" "cy"
"56" "Danish" "da"
"57" "German" "de"
"58" "Zazaki" "diq"
"59" "Lower Sorbian" "dsb"
"60" "Divehi" "dv"
"61" "Dzongkha" "dz"
"62" "Ewe" "ee"
"63" "Greek" "el"
"64" "Emilian-Romagnol" "eml"
"65" "English" "en"
"66" "Esperanto" "eo"
"67" "Spanish" "es"
"68" "Estonian" "et"
"69" "Basque" "eu"
"70" "Extremaduran" "ext"
"71" "Persian" "fa"
"72" "Fula" "ff"
"73" "Finnish" "fi"
"74" "Võro" "fiu-vro"
"75" "Fijian" "fj"
"76" "Faroese" "fo"
"77" "French" "fr"
"78" "Franco-Provençal" "frp"
"79" "North Frisian" "frr"
"80" "Friulian" "fur"
"81" "West Frisian" "fy"
"82" "Irish" "ga"
"83" "Gagauz" "gag"
"84" "Gan" "gan"
"85" "Scottish Gaelic" "gd"
"86" "Galician" "gl"
"87" "Gilaki" "glk"
"88" "Guarani" "gn"
"89" "Goan Konkani" "gom"
